batter,runs,balls,strike_rate
DJ Muthuswami,1,3,33.33333333333333
LE Plunkett,1,3,33.33333333333333
DP Nannes,4,13,30.76923076923077
RS Gavaskar,2,8,25.0
Shoaib Akhtar,2,8,25.0
Fazalhaq Farooqi,3,13,23.076923076923077
A Singh,2,10,20.0
HF Gurney,1,5,20.0
Mohammad Ashraful,2,12,16.666666666666664
Shoaib Ahmed,1,6,16.666666666666664
KK Ahmed,1,7,14.285714285714285
RR Bhatkal,0,2,0.0
RP Meredith,0,3,0.0
L Ablish,0,2,0.0
Yash Dayal,0,1,0.0
YA Abdulla,0,1,0.0
V Pratap Singh,0,1,0.0
Y Prithvi Raj,0,1,0.0
R Sanjay Yadav,0,2,0.0
K Yadav,0,4,0.0
C Nanda,0,1,0.0
KR Sen,0,3,0.0
S Ladda,0,10,0.0
S Kaushik,0,1,0.0
S Lamichhane,0,1,0.0
KM Asif,0,2,0.0
IC Pandey,0,2,0.0
SS Cottrell,0,2,0.0
JL Denly,0,1,0.0
Sunny Gupta,0,1,0.0
Mayank Dagar,0,1,0.0
ND Doshi,0,13,0.0
Abdur Razzak,0,2,0.0
U Kaul,0,1,0.0
